id,department_id,slug,name
15680,70,soustons,Soustons
29348,101,sigy-le-chatel,Sigy-le-chatel
27674,97,drachenbronn-birlenbach,Drachenbronn-birlenbach
26617,95,gedre,Gedre
22624,88,varennes-les-narcy,Varennes-les-narcy
17929,78,fage-montivernoux,La fage-montivernoux
6838,49,eyrein,Eyrein
14413,68,saint-arey,Saint-arey
2250,37,lanas,Lanas
31469,107,courpalay,Courpalay
11466,60,serviers-et-labaume,Serviers-et-labaume
9949,57,martot,Martot
2426,37,saint-laurent-les-bains,Saint-laurent-les-bains
5531,46,criteuil-la-magdeleine,Criteuil-la-magdeleine
14562,68,luzinay,Luzinay
3813,41,fournes-cabardes,Fournes-cabardes
17942,78,bastide-puylaurent,La bastide-puylaurent
29375,101,curtil-sous-burnand,Curtil-sous-burnand
20909,85,juvigny-sur-loison,Juvigny-sur-loison
5332,45,pailherols,Pailherols
15013,69,vaux-sur-poligny,Vaux-sur-poligny
11750,61,alan,Alan
28795,100,corbenay,Corbenay
15883,71,marcilly-en-gault,Marcilly-en-gault
7855,52,malhoure,La malhoure
19902,82,chambroncourt,Chambroncourt
22723,89,fletre,Fletre
16100,72,malleval,Malleval
13118,64,villetelle-34,Villetelle
36142,125,us,Us
35879,121,torfou-91,Torfou
9039,55,gouhelans,Gouhelans
6836,49,latronche,Latronche
31186,107,saint-germain-sous-doue,Saint-germain-sous-doue
24963,92,villers-les-cagnicourt,Villers-les-cagnicourt
27828,98,fellering,Fellering
27850,98,romagny-68,Romagny
35531,119,charmoy-89,Charmoy
4791,44,cricqueville-en-bessin,Cricqueville-en-bessin
10342,57,saint-philbert-sur-risle,Saint-philbert-sur-risle
8124,53,masbaraud-merignat,Masbaraud-merignat
4954,44,brouay,Brouay
11485,60,vezenobres,Vezenobres
20983,85,rouvrois-sur-othain,Rouvrois-sur-othain
26475,95,maubourguet,Maubourguet
30927,106,vattetot-sur-mer,Vattetot-sur-mer
31502,107,vaux-sur-lunain,Vaux-sur-lunain
36080,125,lassy-95,Lassy
27339,97,gumbrechtshoffen,Gumbrechtshoffen
20540,84,joudreville,Joudreville
8729,54,saint-pierre-de-frugie,Saint-pierre-de-frugie
8073,53,royere-de-vassiviere,Royere-de-vassiviere
30227,104,meythet,Meythet
3316,40,saint-martin-de-bossenay,Saint-martin-de-bossenay
15779,71,pray,Pray
34431,116,marigny-brizay,Marigny-brizay
32465,110,picquigny,Picquigny
36371,5974,erone,Erone
10404,57,farceaux,Farceaux
24816,92,aubrometz,Aubrometz
32647,110,candas,Candas
4225,42,nauviale,Nauviale
30353,104,juvigny-74,Juvigny
35552,119,courgis,Courgis
2524,38,regniowez,Regniowez
28875,100,franchevelle,Franchevelle
1995,36,andon,Andon
28963,101,briant,Briant
30002,103,lescheraines,Lescheraines
13927,66,saint-pierre-de-jards,Saint-pierre-de-jards
15207,69,coiserette,Coiserette
11333,60,barjac-30,Barjac
3128,39,herm-09,L'herm
8689,54,monsaguel,Monsaguel
19173,81,sermaize-les-bains,Sermaize-les-bains
15385,69,chisseria,Chisseria
22820,89,thun-l-eveque,Thun-l'eveque
33090,111,lisle-sur-tarn,Lisle-sur-tarn
18839,80,saint-germain-de-varreville,Saint-germain-de-varreville
25152,92,coyecques,Coyecques
20819,84,vathimenil,Vathimenil
5289,45,narnhac,Narnhac
23783,90,grandvillers-aux-bois,Grandvillers-aux-bois
4959,44,ranville,Ranville
36247,5973,valle-di-mezzana,Valle-di-mezzana
4264,42,espalion,Espalion
31004,106,villy-sur-yeres,Villy-sur-yeres
35078,118,villouxel,Villouxel
26143,94,abere,Abere
33386,112,saint-etienne-de-tulmont,Saint-etienne-de-tulmont
11496,60,castelnau-valence,Castelnau-valence
494,32,fontaine-les-clercs,Fontaine-les-clercs
9094,55,gondenans-montby,Gondenans-montby
5655,46,agris,Agris
30181,104,marlens,Marlens
1541,33,montvicq,Montvicq
8214,53,ahun,Ahun
7064,51,vic-sous-thil,Vic-sous-thil
27358,97,riedseltz,Riedseltz
28849,100,clairegoutte,Clairegoutte
18672,80,rozel,Le rozel
5173,44,acqueville-14,Acqueville
17011,75,morville-en-beauce,Morville-en-beauce
6073,47,chaunac,Chaunac
3946,41,bagnoles,Bagnoles
16216,72,gresle,La gresle
12226,62,montpezat-32,Montpezat
30416,104,saint-felix-74,Saint-felix
30384,104,orcier,Orcier
22813,89,loos,Loos
32912,110,saint-leger-les-authie,Saint-leger-les-authie
20905,85,couvertpuis,Couvertpuis
5898,47,trizay,Trizay
20199,83,saint-pierre-des-nids,Saint-pierre-des-nids
